iata_code,name,active
IV,Wind Jet,Y
IW,AOM French Airlines,N
IW,Wings Air,Y
IX,Air India Express,Y
IY,Yemenia,Y
IZ,Arkia Israel Airlines,Y
J1,OneJet,Y
J2,Azerbaijan Airlines,Y
J3,Northwestern Air,Y
J4,Buffalo Airways,N
J4,ALAK,Y
J5,Alaska Seaplane Service,Y
J6,AVCOM,N
J7,Denim Air ,Y
J7,Centre-Avia,N
J7,ValueJet,N
J8,Berjaya Air,Y
J9,Guinee Airlines,N
J9,Jazeera Airways,Y
JA,Air Bosna,Y
JA,B&H Airlines,N
JB,Helijet,Y
JC,JAL Express,Y
JD,Japan Air System,Y
JE,Mango,Y
JF,Jetairfly,Y
JF,L.A.B. Flying Service,N
JG,Jetgo Australia,Y
JH,Nordeste Linhas Aereas Regionais,N
JH,Fuji Dream Airlines,Y
JI,Midway Airlines,Y
JJ,TAM Brazilian Airlines,Y
JK,Spanair,Y
JL,Japan Airlines,Y
JL,Japan Airlines Domestic,Y
JM,Air Jamaica,Y
JN,Excel Airways,Y
JO,JALways,Y
JP,Adria Airways,Y
JQ,Jetstar Airways,Y
JR,Joy Air,Y
JR,Aero California,N
JS,Air Koryo,Y
JT,Lion Mentari Airlines,Y
JU,Air Serbia,Y
JU,Jat Airways,N
JV,Bearskin Lake Air Service,Y
JW,Arrow Air,Y
JX,Jusur airways,Y
JX,Jett8 Airlines Cargo,N
JY,Air Turks and Caicos,N
JY,Aereonautica militare,Y
JZ,Skyways Express,Y
K1,Kostromskie avialinii,Y
K2,Eurolot,Y
K3,Atlantic Air Cargo,N
K4,Kalitta Air,N
K5,Wings of Alaska,N
K5,SeaPort Airlines,Y
K5,Aban Air,n
K6,Cambodia Angkor Air (K6),Y
K6,Bravo Air Congo,N
K7,KoralBlue Airlines,Y
K8,Zambia Skyways,Y
K8,Airlink Zambia,N
K9,Krylo Airlines,N
KA,Dragonair,Y
KB,Druk Air,Y
KC,Air Astana,Y
KD,KD Avia,Y
KE,Korean Air,Y
KF,Blue1,Y
KG,LAI - Linea Aerea IAACA,N
KG,Royal Airways,Y
KH,Cook Island Air,N
KH,Kharkiv Airlines,Y
KI,Air Atlantique,N
KI,Adam Air,Y
KJ,British Mediterranean Airways,Y
KK,Atlasjet,Y
KL,KLM Royal Dutch Airlines,Y
KM,Air Malta,Y
KN,China United,Y
KO,Alaska Central Express,Y
KP,Kiwi International Air Lines,N
KP,Dense Airways,Y
KP,Air Cape,N
KQ,Kenya Airways,Y
KR,Comores Airlines,Y
KS,Peninsula Airways,Y
KT,VickJet,Y
KT,California Western,N
KU,Kuwait Airways,Y
KV,Kavminvodyavia,Y
KW,Carnival Air Lines,Y
KX,Cayman Airways,Y
KY,Air S,N
KY,Kibris T,N
KY,KSY,Y
KZ,Dense Connection,Y
KZ,Nippon Cargo Airlines,N
L1,All Argentina,Y
L1,Lufthansa Systems,N
L2,Lynden Air Cargo,N
L3,LTU Austria,Y
L3,DHL de Guatemala,N
L4,Luchsh Airlines ,Y
L5,Lufttransport,Y
L6,Mauritania Airlines International,Y
L7,Lugansk Airlines,Y
L7,Laoag International Airlines,N
